#MB
A1S1 - Witches - Boundaries between good and evil are blurred from the start. Repition suggests the two ideas are interchangable.|Fair is foul, and foul is fair
A1S2 - Captain - Metaphor of removing stiches, associates Macbeth's war techniques with art forms such as tapestry.|Unseamed him from nave to th' chaps
A1S2 - Duncan - Foreshadowing Macbeth's betrayal of Duncan, because the previous the Thane of Cawdor is the title of a traitor|with his former title, greet Macbeth
A1S2 - Duncan - antithesis of 'lost' and 'won' reflects how power will change quickly in the play|What he hath lost, noble Macbeth hath won
A1S3 - Witches|Thane of Glamis
A1S3 - Witches|Thane of Cawdor
A1S3 - Witches - Ambiguity: the witches say MB will be king, but not how. Plants a seed of ambition in his mind.|All hail Macbeth, that shalt be King hereafter
A1S3 - Witches - Suggests a royal dynasty through Banquo's lineage - who is supposed to be an ancestor of James I|Thou shalt get kings, though thou be none
A1S3 - Macbeth - Personification of chance, indicating he is hesitant to take ruthless actions, contrasting with LM's more aggressive speech in scene 5.|Chance may crown me without my stir
A1S4 - Macbeth - Religious symbolism of 'Stars' / 'light' shows he is aware of the consequences of commiting regicide (hell).|Stars, hide your fires, let not light see my black and deep desires
A1S6 - Duncan - Dramatic irony because LM is planning his murder.|Fair and noble hostess
A1S7 - Macbeth - Metaphor demonstrates how he knows the plan is morally wrong. Foreshadows his downfall.|Justice commends the ingredients of our poisoned chalice to our own lips
A1S7 - Macbeth - Imperitive shows authority, 'business' connotes that the killing is for nothing but his own gain.|We will proceed no further in this business
A1S7 - Lady Macbeth - manipulative tone shows how strong she is, strong link to gender expectations. MB isn't as strong as he should be, LM is shockingly powerful.|be so much more the man
A1S7 - Lady Macbeth - 'coward' = emotive language, creates insulting tone, eroding what MB values most: his bravery and reputation.|Live a coward in thine own esteem, letting 'I dare not' wait upon 'I would'
A1S7 - Lady Macbeth - extremely shocking violence. Women were meant to be caring and motherly, but this is juxtaposed by LM's viscious attitude.|plucked my nipple from its boneless gums and dashed the brains out
A1S7 - Macbeth - horse metaphor, acknowledges that his ambition is leading him down a dangerous path|I have no spur to prick the sides of my intent, but only vaulting ambition which overleaps itself and falls on the other
A1S7 - Macbeth - MB's admiration of her. He sees her as so strong that only male children are worthy of her.|Bring forth men-children only
A1S7 - Macbeth - Repition highlights that MB knows he is corrupted. Appearance vs Reality. Alliteration adds a harsh, sinister tone.|False face must hide what false heart doth know
A1S5 - Lady Macbeth - Metaphor of milk implies that MB is a woman, highly insulting to his bravery.|Too full of the milk of human kindness
A1S5 - Lady Macbeth - Cements LM as a evil character - association with metaphorical spirits would highlight this to Jacobean audiences.|Pour my spirits in thine ear
A1S5 - Lady Macbeth - Imperitives show her determination and control. Theme of gender.|Unsex me here, and fill me from the crown to the toe top full of direst cruelty
A1S5 - Lady Macbeth - Theme of deception, appearance vs reality. Metaphor.|Look the innocent flower, but be the serpent under it
A1S3 - Banquo - Rhetorical question demonstrates his distrust of the supernatural.|Can the devil speak true?
